date,time,symbol,token,action,breakout_level,stop_loss,target1,target2,target3,rsi,macd,volume,level_score,level_age,close
15-04-2025,14:05:00,ABB-EQ,13,BUY,5174,5018.78,5484,5625,5950,55.04054325,-5.747678035,5611,,,5237.5
16-04-2025,15:00:00,ABB-EQ,13,BUY,5288,5129.36,5288,5605,5625,55.82737326,-1.406587604,6935,,,5384
21-04-2025,09:15:00,ABB-EQ,13,BUY,5625,5456.25,5645,5962,6469,67.91738052,0.279814277,71767,,,5637.5
22-04-2025,12:00:00,ABB-EQ,13,BUY,5625,5456.25,5699,5962,6469,65.99858655,4.011781517,11819,,,5673
23-04-2025,09:15:00,ABB-EQ,13,BUY,5704,5532.88,6046,6160,6560,73.39615771,7.812522321,21404,,,5743
16-05-2025,12:15:00,ABB-EQ,13,BUY,5792,5618.24,6140,6255,6661,59.41430286,6.74666803,6165,,,5812.5
19-05-2025,09:15:00,ABB-EQ,13,BUY,5866,5690.02,6218,6335,6746,73.81985364,4.984053666,19635,,,5880.5
22-05-2025,11:50:00,ABB-EQ,13,BUY,5913,5735.61,6268,6386,6800,66.03914479,7.619078258,11022,,,5915.5
23-05-2025,09:30:00,ABB-EQ,13,BUY,5959,5780.23,6317,6436,6853,65.41256241,6.863487681,7790,,,5972.5
26-05-2025,09:35:00,ABB-EQ,13,BUY,5990,5810.3,6349,6469,6888,71.72695901,11.86187777,6320,,,6020
29-05-2025,13:00:00,ABB-EQ,13,BUY,6062,5880.14,6426,6547,6971,68.9308648,10.10433221,6270,,,6067.5
30-05-2025,09:15:00,ABB-EQ,13,BUY,6070,5887.9,6434,6556,6980,74.65113873,6.894069146,9207,,,6087
06-06-2025,09:40:00,ABB-EQ,13,BUY,6118,5934.46,6485,6607,7036,70.16011082,26.73369366,21379,,,6133.5
09-06-2025,10:30:00,ABB-EQ,13,BUY,6118,5934.46,6176,6485,7036,70.24790982,15.30116135,6519,,,6142
15-04-2025,15:15:00,ABCAPITAL-EQ,21614,BUY,188,182.36,193.7,199.3,216.2,63.53904387,0.159095521,101849,,,190.8
16-04-2025,13:00:00,ABCAPITAL-EQ,21614,BUY,193.7,187.889,205.3,209.2,222.8,66.52225423,0.191328624,143026,,,195.04
17-04-2025,09:15:00,ABCAPITAL-EQ,21614,BUY,196.3,190.411,196.3,208.1,225.7,72.99063524,0.34339168,269045,,,197.41
21-04-2025,09:20:00,ABCAPITAL-EQ,21614,BUY,199,193.03,210.9,214.9,228.8,71.16418966,0.34286996,241777,,,199.9
22-04-2025,10:55:00,ABCAPITAL-EQ,21614,BUY,205,198.85,217.3,221.4,235.7,65.31039498,0.369967395,116882,,,205.6
23-04-2025,13:40:00,ABCAPITAL-EQ,21614,BUY,207,200.79,219.4,223.6,238,72.98968042,0.781093759,86513,,,207.05
08-05-2025,12:40:00,ABCAPITAL-EQ,21614,BUY,201.6,195.552,201.6,208.8,213.7,69.5336548,0.556719896,156307,,,203.51
12-05-2025,15:05:00,ABCAPITAL-EQ,21614,BUY,204.5,198.365,208.8,216.8,235.2,60.08270683,0.044394071,107645,,,205.5
13-05-2025,14:55:00,ABCAPITAL-EQ,21614,BUY,208.8,202.536,221.3,225.5,240.1,66.54697563,0.15861279,128445,,,208.9
14-05-2025,09:20:00,ABCAPITAL-EQ,21614,BUY,210.1,203.797,222.7,226.9,241.6,68.08661048,0.557755597,1158667,,,213.95
21-05-2025,13:15:00,ABCAPITAL-EQ,21614,BUY,220,213.4,233.2,237.6,253,73.21961616,0.282194894,406276,,,220.17
22-05-2025,09:20:00,ABCAPITAL-EQ,21614,BUY,221.8,215.146,235.1,239.5,255.1,66.88040013,0.595476541,648442,,,222.31
23-05-2025,11:45:00,ABCAPITAL-EQ,21614,BUY,223.4,216.698,223.4,236.8,256.9,66.90552529,0.332329412,110240,,,223.55
29-05-2025,09:15:00,ABCAPITAL-EQ,21614,BUY,220,213.4,224.1,233.2,253,70.91915172,0.045570945,134663,,,221.92
