symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
DIVISLAB-EQ,10940,BUY,5625.0,5456.25,5940.0,5962.0,5970.0,2025-04-15,1,5625.0,2025-04-22,5970.0,T3,345.0,345.0,7
ABB-EQ,13,BUY,5174.0,5129.36,5288.0,5605.0,5625.0,2025-04-15,1,5174.0,2025-04-17,5625.0,T3,451.0,451.0,2
COALINDIA-EQ,20374,BUY,399.0,387.03,402.6,411.8,422.9,2025-04-16,25,9975.0,2025-04-21,399.0,T1_SL,0.0,0.0,5
AUROPHARMA-EQ,275,SELL,1133.0,1166.99,1065.0,1042.0,963.0,2025-04-16,8,9064.0,2025-04-17,1166.99,SL,-33.99000000000001,-271.9200000000001,1
ABB-EQ,13,SELL,5341.0,5501.2300000000005,5341.0,5021.0,4540.0,2025-04-17,1,5341.0,2025-04-21,5501.2300000000005,SL,-160.23000000000047,-160.23000000000047,4
COALINDIA-EQ,20374,SELL,392.0,403.76,368.5,356.0,333.2,2025-04-17,25,9800.0,2025-04-21,403.76,SL,-11.759999999999991,-293.9999999999998,4
DIVISLAB-EQ,10940,SELL,5740.0,5912.2,5740.0,5396.0,4956.0,2025-04-16,1,5740.0,2025-04-17,5740.0,T1_SL,0.0,0.0,1
MPHASIS-EQ,4503,SELL,2240.0,2307.2000000000003,2106.0,2061.0,1904.0,2025-04-17,4,8960.0,2025-04-21,2307.2000000000003,SL,-67.20000000000027,-268.8000000000011,4
NAUKRI-EQ,13751,SELL,1341.0,1381.23,1341.0,1261.0,1157.0,2025-04-17,7,9387.0,2025-04-21,1381.23,SL,-40.23000000000002,-281.6100000000001,4
SAIL-EQ,2963,SELL,112.7,116.081,112.7,106.6,101.1,2025-04-16,88,9917.6,2025-04-21,116.081,SL,-3.3810000000000002,-297.528,5
MAXHEALTH-EQ,22377,SELL,1065.0,1096.95,1001.0,990.0,905.0,2025-04-15,9,9585.0,2025-04-22,1096.95,SL,-31.950000000000045,-287.5500000000004,7
NMDC-EQ,15332,BUY,66.1,66.0958,70.49,70.98,72.23,2025-04-17,151,9981.099999999999,2025-04-21,66.0958,SL,-0.004199999999997317,-0.6341999999995949,4
GLENMARK-EQ,7406,SELL,1340.0,1380.2,1340.0,1260.0,1139.0,2025-04-17,7,9380.0,2025-04-21,1340.0,T1_SL,0.0,0.0,4
MARUTI-EQ,10999,SELL,11588.0,11935.64,11290.0,11059.0,10893.0,2025-04-17,0,0.0,2025-04-23,11935.64,SL,-347.6399999999994,-0.0,6
BHARATFORG-EQ,422,BUY,1078.0,1078.64,1112.0,1179.0,1210.0,2025-04-21,9,9702.0,2025-04-30,1104.2,MKT,26.200000000000045,235.8000000000004,9
CUMMINSIND-EQ,1901,BUY,2852.0,2766.44,3023.0,3085.0,3280.0,2025-04-15,3,8556.0,2025-04-25,2861.1,MKT,9.099999999999909,27.299999999999727,10
PATANJALI-EQ,17029,BUY,1905.0,1847.85,2019.0,2057.0,2191.0,2025-04-15,5,9525.0,2025-04-25,1967.0,MKT,62.0,310.0,10
VBL-EQ,18921,BUY,550.0,535.4399999999999,552.0,568.0,585.0,2025-04-15,18,9900.0,2025-04-16,550.0,T1_SL,0.0,0.0,1
INDHOTEL-EQ,1512,BUY,838.0,812.86,847.0,858.0,888.0,2025-04-16,11,9218.0,2025-04-23,838.0,T1_SL,0.0,0.0,7
JINDALSTEL-EQ,6733,BUY,896.0,886.5799999999999,929.0,969.0,1051.0,2025-04-21,11,9856.0,2025-04-25,886.5799999999999,SL,-9.420000000000073,-103.6200000000008,4
HINDUNILVR-EQ,1394,BUY,2396.0,2364.86,2584.0,2633.0,2804.0,2025-04-22,4,9584.0,2025-04-24,2364.86,SL,-31.139999999999873,-124.55999999999949,2
M&MFIN-EQ,13285,BUY,257.9,262.385,286.7,288.0,311.1,2025-04-15,38,9800.199999999999,2025-04-16,262.385,SL,4.485000000000014,170.43000000000052,1
CONCOR-EQ,4749,BUY,707.0,685.79,718.0,731.0,749.0,2025-04-21,14,9898.0,2025-04-25,685.79,SL,-21.210000000000036,-296.9400000000005,4
TORNTPOWER-EQ,13786,BUY,1569.0,1521.93,1663.0,1695.0,1804.0,2025-04-15,6,9414.0,2025-04-25,1521.93,SL,-47.069999999999936,-282.4199999999996,10
MUTHOOTFIN-EQ,23650,BUY,2211.0,2144.67,2344.0,2401.0,2543.0,2025-04-22,4,8844.0,2025-04-25,2144.67,SL,-66.32999999999993,-265.3199999999997,3
UNIONBANK-EQ,10753,BUY,127.8,126.003,132.9,137.7,149.4,2025-04-21,78,9968.4,2025-04-23,126.003,SL,-1.796999999999997,-140.16599999999977,2
TATAMOTORS-EQ,3456,BUY,628.0,616.92,674.0,723.0,731.0,2025-04-21,15,9420.0,2025-04-30,644.25,MKT,16.25,243.75,9
VOLTAS-EQ,3718,BUY,1321.0,1281.37,1400.0,1457.0,1470.0,2025-04-22,7,9247.0,2025-04-24,1281.37,SL,-39.63000000000011,-277.41000000000076,2
PAGEIND-EQ,14413,BUY,44750.0,44566.65,48702.0,49621.0,52837.0,2025-04-15,0,0.0,2025-04-16,44566.65,SL,-183.34999999999854,-0.0,1
TRENT-EQ,1964,BUY,4985.0,5212.78,5374.0,5696.0,5751.0,2025-04-16,2,9970.0,2025-04-17,5212.78,SL,227.77999999999975,455.5599999999995,1
ADANIGREEN-EQ,3563,BUY,942.0,927.32,976.0,983.0,1013.0,2025-04-16,10,9420.0,2025-04-23,927.32,SL,-14.67999999999995,-146.7999999999995,7
