symbol,token,action,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
BHEL-EQ,438,BUY,2025-04-15,45,9810.0,2025-04-16,222.518,SL,4.518000000000001,203.31000000000003,1
SUPREMEIND-EQ,3363,BUY,2025-04-17,2,6834.0,2025-04-25,3417.0,T1_SL,0.0,0.0,8
BPCL-EQ,526,BUY,2025-04-16,33,9758.1,2025-04-17,296.432,SL,0.7320000000000277,24.156000000000915,1
SJVN-EQ,18883,BUY,2025-04-16,105,9917.25,2025-04-17,97.873,SL,3.423000000000002,359.4150000000002,1
TATAPOWER-EQ,3426,BUY,2025-04-16,26,9895.6,2025-04-17,382.18,SL,1.579999999999984,41.079999999999586,1
ABFRL-EQ,30108,BUY,2025-04-16,103,9927.14,2025-04-25,96.2434,SL,-0.1366000000000014,-14.069800000000143,9
PNB-EQ,10666,BUY,2025-04-16,101,9927.29,2025-04-17,99.813,SL,1.5229999999999961,153.8229999999996,1
UPL-EQ,11287,BUY,2025-04-15,15,9690.0,2025-04-16,660.57,SL,14.57000000000005,218.55000000000075,1
SRF-EQ,3273,BUY,2025-04-15,3,8904.0,2025-04-25,2968.0,T1_SL,0.0,0.0,10
BANKINDIA-EQ,4745,BUY,2025-04-15,91,9937.2,2025-04-16,114.654,SL,5.4539999999999935,496.3139999999994,1
MAZDOCK-EQ,509,BUY,2025-04-16,3,8094.0,2025-04-23,2753.0,T2_SL,55.0,165.0,7
GAIL-EQ,4717,BUY,2025-04-16,55,9944.0,2025-04-25,186.74,MKT,5.939999999999998,326.6999999999999,9
COCHINSHIP-EQ,21508,BUY,2025-04-15,6,8646.0,2025-04-16,1454.03,SL,13.029999999999973,78.17999999999984,1
BEL-EQ,383,BUY,2025-04-17,33,9748.199999999999,2025-04-21,297.402,SL,2.0020000000000095,66.06600000000032,4
TORNTPOWER-EQ,13786,BUY,2025-04-15,6,9414.0,2025-04-25,1521.93,SL,-47.069999999999936,-282.4199999999996,10
ADANIPORTS-EQ,15083,BUY,2025-04-15,8,9688.0,2025-04-25,1189.22,SL,-21.779999999999973,-174.23999999999978,10
EXIDEIND-EQ,676,BUY,2025-04-15,26,9742.199999999999,2025-04-17,371.995,SL,-2.704999999999984,-70.32999999999959,2
YESBANK-EQ,11915,BUY,2025-04-15,571,9986.789999999999,2025-04-25,18.04,T2_SL,0.5500000000000007,314.0500000000004,10
NHPC-EQ,17400,BUY,2025-04-15,117,9943.83,2025-04-16,88.1536,SL,3.1636000000000024,370.14120000000025,1
PFC-EQ,14299,BUY,2025-04-15,23,9761.199999999999,2025-04-17,419.816,SL,-4.584000000000003,-105.43200000000007,2
KALYANKJIL-EQ,2955,BUY,2025-04-16,19,9842.0,2025-04-17,519.92,SL,1.919999999999959,36.47999999999922,1
MFSL-EQ,2142,BUY,2025-04-15,8,9520.0,2025-04-16,1213.47,SL,23.470000000000027,187.76000000000022,1
SIEMENS-EQ,3150,BUY,2025-04-15,3,8232.0,2025-04-16,2816.88,SL,72.88000000000011,218.64000000000033,1
BAJAJ-AUTO-EQ,16669,BUY,2025-04-17,1,8040.0,2025-04-21,8045.18,SL,5.180000000000291,5.180000000000291,4
UNITDSPR-EQ,10447,BUY,2025-04-15,6,8904.0,2025-04-16,1504.47,SL,20.470000000000027,122.82000000000016,1
HAL-EQ,2303,BUY,2025-04-15,2,8286.0,2025-04-16,4208.83,SL,65.82999999999993,131.65999999999985,1
BAJAJHFL-EQ,25270,BUY,2025-04-16,79,9938.199999999999,2025-04-17,129.98,SL,4.179999999999993,330.2199999999994,1
INDUSTOWER-EQ,29135,BUY,2025-04-15,26,9755.199999999999,2025-04-16,386.836,SL,11.636000000000024,302.5360000000006,1
OFSS-EQ,10738,BUY,2025-04-15,1,7650.0,2025-04-16,8062.64,SL,412.6400000000003,412.6400000000003,1
NTPC-EQ,11630,BUY,2025-04-15,27,9760.5,2025-04-25,356.45,MKT,-5.050000000000011,-136.3500000000003,10
RELIANCE-EQ,2885,BUY,2025-04-15,8,9784.0,2025-04-16,1241.6,SL,18.59999999999991,148.79999999999927,1
RVNL-EQ,9552,BUY,2025-04-17,27,9981.9,2025-04-23,366.175,SL,-3.5249999999999773,-95.17499999999939,6
INDIANB-EQ,14309,BUY,2025-04-16,17,9486.0,2025-04-17,575.21,SL,17.210000000000036,292.5700000000006,1
POLYCAB-EQ,9590,BUY,2025-04-15,1,5179.0,2025-04-16,5401.93,SL,222.9300000000003,222.9300000000003,1
BDL-EQ,2144,BUY,2025-04-15,7,9695.0,2025-04-25,1413.6,MKT,28.59999999999991,200.19999999999936,10
PRESTIGE-EQ,20302,BUY,2025-04-15,8,9016.0,2025-04-16,1273.61,SL,146.6099999999999,1172.8799999999992,1
NYKAA-EQ,6545,BUY,2025-04-15,55,9966.0,2025-04-16,186.24,SL,5.0400000000000205,277.2000000000011,1
BOSCHLTD-EQ,2181,BUY,2025-04-16,0,0.0,2025-04-17,27092.1,SL,-72.90000000000146,-0.0,1
JSWSTEEL-EQ,11723,BUY,2025-04-15,10,9970.0,2025-04-16,1012.68,SL,15.67999999999995,156.7999999999995,1
MARICO-EQ,4067,BUY,2025-04-16,13,9360.0,2025-04-21,698.4,SL,-21.600000000000023,-280.8000000000003,5
MRF-EQ,2277,BUY,2025-04-15,0,0.0,2025-04-16,125241.55,SL,6491.550000000003,0.0,1
ZYDUSLIFE-EQ,7929,BUY,2025-04-15,11,9669.0,2025-04-16,852.63,SL,-26.370000000000005,-290.07000000000005,1
SOLARINDS-EQ,13332,BUY,2025-04-15,0,0.0,2025-04-16,12760.35,SL,1340.3500000000004,0.0,1
AUBANK-EQ,21238,BUY,2025-04-15,17,9622.0,2025-04-16,649.9,SL,83.89999999999998,1426.2999999999997,1
PHOENIXLTD-EQ,14552,BUY,2025-04-17,6,9684.0,2025-04-22,1614.0,T1_SL,0.0,0.0,5
HINDPETRO-EQ,1406,BUY,2025-04-16,25,9675.0,2025-04-25,379.561,SL,-7.439000000000021,-185.97500000000053,9
CIPLA-EQ,694,BUY,2025-04-16,6,8928.0,2025-04-17,1492.83,SL,4.829999999999927,28.979999999999563,1
OBEROIRLTY-EQ,20242,BUY,2025-04-15,6,9468.0,2025-04-16,1649.0,SL,71.0,426.0,1
ICICIPRULI-EQ,18652,BUY,2025-04-16,17,9792.0,2025-04-17,587.82,SL,11.82000000000005,200.94000000000085,1
HDFCLIFE-EQ,467,BUY,2025-04-15,14,9618.0,2025-04-16,703.25,SL,16.25,227.5,1
VMM-EQ,27969,BUY,2025-04-17,91,9900.8,2025-04-25,108.8,T1_SL,0.0,0.0,8
SBILIFE-EQ,21808,BUY,2025-04-15,6,9234.0,2025-04-16,1590.8,SL,51.799999999999955,310.7999999999997,1
JIOFIN-EQ,18143,BUY,2025-04-15,42,9907.800000000001,2025-04-16,252.006,SL,16.105999999999995,676.4519999999998,1
ADANIENSOL-EQ,10217,BUY,2025-04-15,11,9317.0,2025-04-16,920.53,SL,73.52999999999997,808.8299999999997,1
LTIM-EQ,17818,BUY,2025-04-21,2,8660.0,2025-04-22,4373.73,SL,43.72999999999956,87.45999999999913,1
